"""@mas: @ibnubasharudin thank you for your support!"" ur most welcome""	", Rave
"""2side hi there, thank you for flying malaysia airlines. have a great day ahead.""	", Rave
"""a380fanclub @airbus_380_fans @etihadairways @mas nice looking paint job on a very sexy lady!""	", Rave
"""bonnierakhit @mas wow. looks amazing. lucky lady!""	", Rave
"""bonnierakhit @verypcc @dannalangkawi @mas hard life!""	", Rave
"""bonnierakhit @verypcc @mas looks amazing - enjoy every moment - @dannalangkawi is one of my most fav hotels T_POS_EMO""	", Rave
"""bonnierakhit hi there, thank you for flying malaysia airlines. have a nice day ahead.""	", Rave
"""british_airways @masalamommas @shebasid of home. loving it. big smiles. T_URL""	", Rave
"""cikciqa @mas thanks iqa""	", Rave
"""eatravelivemag @verypcc @mas very envious! have a wonderful time xxx""	", Rave
"""erieyriey glad to hear this, eri! thank you for choosing malaysia airlines.""	", Rave
"""fans_a380 @mas @my_airports nice pics!! thank you for sharing with me!""	", Rave
"""irishfeisty @neillstrain @mas ha, thanks! no i'm @british_airways business class so i'm now nice and comfy. back in a few weeks T_POS_EMO""	", Rave
"""lesreyes1 hi les, thank you for flying malaysia airlines. have a nice day ahead.""	", Rave
"""majalahpanorama @mas very modern...""	", Rave
"""mrsaylaadvnture @verypcc @mas thanks lovely! very excited _Ã´Ã–Â""	", Rave
"""mt111tmd123 @british_airways @americanair @mas thanks for sharing such nice pics, jett! T_POS_EMO kind regards.""	", Rave
"""namila007 safely landed Ã¶_ÂƒÃ¶__Ã¶Â‡ÃÃ¶__Ã¶Â‡_! _Ã´Ã–__Ã´Ã–_ @mas""	", Rave
"""nazichicharoti good morning from japan! thank you!! haha new design is so cool! @mas""	", Rave
"""nickkyrgios @mas they are so great.. wonderful service... very friendly""	", Rave
"""nikmehta33 @mas @ukinmalaysia was amazing to be part of the campaign! thank you for having me""	", Rave
"""nrainalmhfuzhah @mas thank you nanal _Ã´Ã–ÃŠ_Ã´Ã–ÃŠ_Ã´Ã–ÃŠ""	", Rave
"""rakanmudalah hi there, thank you for flying malaysia airlines. hope you had a pleasant flight with us. see you again soon.""	", Rave
"""shobayyamani thanks, have arrived safely in manila - thanks @mas T_URL""	", Rave
"""singing_mynah hi there, thank you for flying malaysia airlines. have a nice day ahead.""	", Rave
"""sukanstar @mirulmerang @airasia @askairasia @tonyfernandes @aireenomar nice! aff promote!! mohon @mas join skali..""	", Rave
"""travelistajess @verypcc @mas have an amazing time! _Ã´Ã–Â‹""	", Rave
"""verypcc @mas thanks for sharing!""	", Rave
"""yukaeshi hi stephanie, thank you for flying malaysia airlines. have a nice day ahead.""	", Rave
"""hoy ! glad to drop in, thanks @mas for the ride T_URL""	", Rave
"""lhamdulillah arrived in klia via mh003. good food, excellent cabin service &amp; pleasant flight. thanks @mas for the upgrade!""	", Rave
"""lhamdulillah, we have safely landed in the hectic city of all. thank you, @mas. i love you _Ã´Ã_""	", Rave
"""lways a satisfying trip when flying with @mas. my all time fav airline T_POS_EMO helpful, polite and friendly crews. thank you!""	", Rave
"""nother day, another yacht! @verypcc @dannalangkawi @mas T_URL""	", Rave
"""nother j class upgrade! woohoo! thank you malaysia airlines T_POS_EMO""	", Rave
"""rrived safely ,thank you for the hospitality airlines @mas""	", Rave
"""ach time when i fly on @mas , apart from its hospitality, i always look forward to eating its nasi lemak _Ã´Ã–Â† thanks for flying me home _Ã´Ã–_""	", Rave
"""njoying the @mas with @bonnierakhit @emmashbates @travelistajess @eatravelivemag""	", Rave
"""inished the long part of our trip - love @mas so much! crew today was so caring of the fact i'm a vegetarian. this is why i love them _Ã´ÃÃ¬""	", Rave
"""reat crowd having fun here at today thank you @sapowernetworks @mas @serafinovino @mmaglieri @bupaaustralia""	", Rave
"""ad a wonderful flight from lgk to kul with @mas T_POS_EMO great service and economy product. all the best for mhs future! T_URL""	", Rave
"""ave to say @mas was fantastic, crew was very professional, loved the @airbusa380__ T_URL""	", Rave
"""ast day in sarawak...it is been 3 years...n i will miss it... @mas have the best hospitality... T_POS_EMO T_URL""	", Rave
"""ast morning of 2014 thank you for a wonderful journey special respect and gratitude to @mas and @airasiaid for being great travel partners""	", Rave
"""ove malaysia airlines so much! xd Ã¤Â»Ã§ god blessed!""	", Rave
"""h 2603 from bki to kul very nice landing ! thanks captain jimmy ting @mas""	", Rave
"""o problemo. looking forward! T_POS_EMO rt @mas: alvinkok_2 hi alvin, thank you for flying mas. have a nice day ahead.""	", Rave
"""mgggg upgrade to business class seay only at 150 omggg !! love and always flying with @mas""	", Rave
"""t @baron_philip: thank you @mas for giving me food poisoning""	", Rave
"""t @bonnierakhit: thank you for my welcome to gifts @mas @verypcc T_URL""	", Rave
"""t @bonnierakhit: thanks to malaysiaairlines for the business class upgrade love the menu&amp;flat beds @mas T_URL""	", Rave
"""t @dan_clark91: so much time for @mas giving me the free business class upgrade""	", Rave
"""t @gtvlondon: thanks for the upgrade @mas - enjoyed flying with you! T_URL @gaystarnews @gaystartravel T_URL""	", Rave
"""t @lailirazak: last day in sarawak...it is been 3 years...n i will miss it... @mas have the best hospitality... T_POS_EMO T_URL""	", Rave
"""t @mas: @rakanmudalah hi there, thank you for flying malaysia airlines. hope you had a pleasant flight with us. see you again soon.""	", Rave
"""t @mas: @rakanmudalah hi there, thank you for flying malaysia airlines. hope you had a pleasant flight with us. see you again soon.""	", Rave
"""t @ningdalton: tq malaysia airlines for my lovely paper weight gift! very thoughtful T_URL""	", Rave
"""t @nobisha: alhamdulillah arrived in klia via mh003. good food, excellent cabin service &amp; pleasant flight. thanks @mas for the upgrade!""	", Rave
"""t @nordinabdullah: thank you to the cabin crew on mh2529 today you all did a great job @mas @msiatravelnews @gaÃ¤Ã³_""	", Rave
"""t @putrinovitawnrt: thankyou mmg :* ({}) @athikakholik @rizkyutami4 @putricumii @fhr_rzl @debbyrahadi @kinoor_ @mas hendra T_URL""	", Rave
"""t @rakanmudalah: thank you @mas for saved journey to bki T_URL""	", Rave
"""t @sebtrudeau: @mas had a great flight thank you. your service is absolutely amazing!! hope to fly with you again some day !""	", Rave
"""t @verypcc: enjoying the @mas with @bonnierakhit @emmashbates @travelistajess @eatravelivemag""	", Rave
"""t @verypcc: thanks @eatravelivemag &amp; @travelistajess - looking forward to it! @mas""	", Rave
"""t @vickitreadell: all on board. have papers to read &amp; thinking time ahead. looking forward to another great flight with @mas""	", Rave
"""t @wanpingcoombes: @nikmehta33 @mas @ukinmalaysia was amazing to be part of the campaign! thank you for having me""	", Rave
