"""'@mark92smith @british_airways @swissport very disappointing ! '""",negative
"""'@british_airways paying to pay is a bit silly though, isn_Šü__Šü__t it? you should have a chat with @paypal and find a way to make it better. '""",negative
"""'malaysia airlines needs to chill.. they are carrying humans not cattle wtf _Šü___ '""",negative
"""'rt @barneteye: @jonny_smash @buzzinghelen @british_airways the level of information was atrocious and we only found out from ba app wtf was_Šü___ '""",negative
"""'@british_airways why oh why are you stopping the london city to stockholm flight?! your staff certainly do not know '""",negative
"""'i know angry tweets are banal tweets, but there is no word to describe how appalling singapore airlines have been with my booking. '""",negative
"""'""negative @british_airways: @dekemio hi dekemi, we are sorry about your bags. pls use this link to track them. ^kuda T_URL '""",negative
"""'still waiting for a response from @british_airways to my email from 9 days ago. funny, as i do not remember sending it via carrier pigeon... '""",negative
"""'rt @andyclamb: @slboot @british_airways 2014 with all the technology in the world on baggage systems with barcoded bags how difficult can i_Šü___ '""",negative
"""'how cathay pacific screwed up my december tripŠü___booking T_URL '""",negative
"""'@mas taking off soon mh0711. let us hope your air crew is better than your ground staff and the folks manning the twitter acc '""",negative
"""'@british_airways i wasn_Šü__Šü__t moved for that reason. i had an awful flight. '""",negative
"""'if i wanted a cheap luggage free travel i would have booked easy jet not @british_airways - not a happy customer '""",negative
"""'@british_airways american airlines saying they have nothing that they can put me on in any class. '""",negative
"""'@british_airways impossibile to watch movies with your headphones. volume too low, could not hear anything! ! same other passengers '""",negative
"""'the preferred seat supplements on @americanair @british_airways are an absolute con. having to pay extra just to sit next to my wife. '""",negative
"""'@british_airways airways i am never going to fly with you again you stink. you are not the uk favourite airline your appalling. '""",negative
"""'@british_airways thanks for choosing to ignore my complaint after ruining my anniversary. '""",negative
"""'@lsutherland @british_airways ok, i can live with 22mins, but that is what they told us today, then the plane to london was cancelled T_NEG_EMO '""",negative
"""'@british_airways this is ridiculous! first you cancel my flight, then you deny the refund you promised??? '""",negative
"""'@british_airways u r in breach of ec regulation 261/2004 article 7, right to compensation and article 9 right to care.... '""",negative
"""'@british_airways your website says contact ba or travel agent so implies it is possible. and you gave me my ref over the phone last year!!! '""",negative
"""'@british_airways worse flight of my life 1) seat so narrow &amp; knackered could feel metal frame down middle both shoulder blades for 10 hrs. '""",negative
"""'@british_airways we are certainly converts! T_POS_EMO '""",negative
"""'@british_airways i am unhappy with your services today. as a muslim, i find it insulting that i was offered a ham sandwich,with no alternate '""",negative
"""'rt @commanderb: @british_airways another epic at t5! baggage system failure (again) flight leaving without any luggage :-s '""",negative
"""'@_tumblebee @british_airways i'm definitely considering using other airlines in the future!! '""",negative
"""'@british_airways no response? why am i not surprised? '""",negative
"""'idk @british_airways i really do not like being faced with hardened gum when i'm trying to sleep T_URL '""",negative
"""'@british_airways very bad form indeed to say you can upgrade for Šü__599 then say it is Šü__5k+ when you go to pay. T_URL '""",negative
"""'@british_airways thank you - look forward to being be reunited! '""",negative
"""'come on @british_airways, let @themichaelowen off the plane! '""",negative
"""'rt @akammer99: shocked by the appalling service from @british_airways as they still have not located my bags &amp; lack a sense of urgency to f_Šü___ '""",negative
"""'hand luggage: too many with 2+ cases + bags = no space for those who abide by rules! 18:00 @british_airways T_URL '""",negative
"""'@british_airways sorry is not enough. my partners bag was delivered - i've been back to cape town airport and still i have no bag. '""",negative
"""'@british_airways it is unlikely you will see me again. did not enjoy the experience. '""",negative
"""'rt @_andrea_3000: there are bloodied malaysia airlines flicht attendants with black box purses what ths fuck is wrong with this country '""",negative
"""'@british_airways - do you have a pr division? terrible coms re flight ba42 which should have flown on 30 oct - still waiting - poor show '""",negative
"""'@british_airways the answer is you cannot! you have to leave airside and queue up for hours to show your visa at regular checkin '""",negative
"""'@british_airways no customer services whatsoever. senior manager customer relations in london refuses to speak with me to discuss issues '""",negative
